1,Pain,AB-,61,6000,0134416550,1742063928
2,Liam Johnson,AB-,24,8200,0111607351,1742062625
3,Emma Brown,B+,50,1200,0188303904,1741611495
4,Olivia Garcia,O+,65,3500,0176721167,1742063723
5,William Martinez,B-,39,7800,0111607350,1741681051
6,James Rodriguez,A+,43,3500,0174942660,1742063726
7,Sheikh Khadija Mahjabin,O+,37,3500,0188303904,1742055743
8,Mia Anderson,O+,31,9000,0176721167,1741681097
9,Charlotte Thomas,A-,22,7800,0174317368,1741611711
10,Ethan Hernandez,B+,56,3500,0116207044,1742051114
11,Sophia Moore,AB-,25,1400,0126579186,1741681124
12,Michael Taylor,B+,41,3900,0138039218,1742063486
13,Amelia Jackson,O+,48,3900,0145606745,1741607651
14,Daniel White,AB+,50,1400,0192773387,1742062942
15,Harper Harris,A+,59,7400,0167471867,1741681170
16,Alexander Clark,AB+,31,1200,0127405031,1741681181
17,Henry Lewis,O-,41,1700,0148695168,1741681192
18,Sebastian Walker,AB-,60,5800,0153326387,1741681203
19,Elijah Hall,O-,52,1700,0163219437,1741681214
20,Isabella Allen,AB-,35,8200,0154884562,1741614116
21,Lucas Young,O+,34,3800,0151384503,1741681225
22,Evelyn King,AB-,65,1700,0177847945,1741681236
23,Matthew Wright,AB+,18,3500,1742055908,1742063937
24,Aiden Scott,A+,39,1200,0166240388,1741681258
25,Ella Green,A+,22,1700,0129978616,1741681269
26,Jack Baker,AB-,64,8200,0190408015,1741681280
27,Scarlett Adams,O-,32,2200,0153502731,1741681291
28,Owen Nelson,B-,54,3500,0128573220,1741681302
29,Mila Carter,AB-,62,9000,0161917976,1741681313
30,Gabriel Mitchell,O-,56,1700,0199921535,1741681324
31,Chloe Perez,O-,50,5200,0117986785,1741681335
32,Logan Roberts,B+,21,3500,0111269317,1741681346
33,Zoe Phillips,O+,21,7800,0146985375,1741611684
34,Nathan Evans,AB+,25,1900,0130517073,1741611725
35,Emily Turner,AB+,32,6000,0110900792,1741681367
36,Caleb Torres,B-,50,6000,0144087585,1741681378
37,Lily Parker,B-,58,1400,0120421103,1741681389
38,Ryan Collins,A-,31,8200,0170750687,1741681400
39,Victoria Edwards,B+,65,1700,0185499391,1741681411
40,Samuel Stewart,AB-,42,1200,0149706386,1741681422
41,Madison Morris,B+,63,3100,0144018115,1741681433
42,David Sanchez,O+,44,3800,0160130261,1741681444
43,Eleanor Jenkins,B+,52,9000,0118572274,1741681455
44,Dylan Foster,AB+,40,9000,0171751535,1741681466
45,Lillian Gray,B-,38,1700,0147180038,1742063940
46,Joseph Ramirez,A+,50,3900,0148688618,1741611759
47,Penelope Cooper,O-,23,1700,0169283932,1741681477
48,Wyatt Bailey,B+,22,5800,0176968923,1741681488
49,Grace Rivera,AB+,60,5200,0176254492,1741681499
50,Julian Wood,B+,47,3500,1742055886,1741681510
51,Aria Barnes,AB+,60,8200,0183001362,1741681521
52,Levi Ross,AB+,19,7400,0163074094,1741681532
53,Hazel Henderson,B+,53,7400,0176883485,1741681543
54,Isaac Coleman,AB+,49,1700,0125116668,1741681554
55,Aubrey Howard,AB-,59,3800,0177397374,1741681565
56,Adam Ward,B-,53,7800,0180177851,1742063743
57,Natalie Peterson,AB-,61,8200,0121500835,1741681587
58,Luke Hughes,A-,34,4000,0176696440,1741681598
59,Bella Flores,O-,48,3500,0168025606,1741681609
60,Jayden Butler,AB+,37,3500,0131125334,1741681620
61,Stella Simmons,B+,39,2200,0172834481,1741681631
62,Hudson Gonzales,AB+,31,1700,0198430650,1741681642
63,Layla Bryant,AB+,43,7400,0114952588,1741681653
64,Hunter Russell,B+,29,1900,0151582613,1741681664
65,Violet Griffin,A+,20,1700,0196985507,1741681675
66,Zachary Diaz,AB-,25,6000,0178643278,1741681686
67,Hannah Reyes,B-,44,3500,0144018342,1742063729
68,Nathaniel Bennett,AB+,38,4000,0117752174,1741681697
69,Aurora Watson,B+,60,3900,0171278945,1741681708
70,Christian Brooks,A+,39,5200,0128591618,1741681719
71,Nova Kelly,O-,65,6000,0159208960,1741681730
72,Parker Sanders,AB-,60,4000,0120465117,1741681741
73,Victoria Price,B+,64,1900,0141269504,1741681752
74,Aaron Powell,A-,42,4000,0137914047,1741681763
75,Sadie Long,B+,22,5200,0162168549,1741681774
76,Adrian Patterson,B-,26,2200,0133797038,1741681785
77,Skylar Hughes,B-,36,7400,0148161581,1741681796
78,Colton Flores,B+,40,2200,0124297895,1741681807
79,Eva Jenkins,A-,50,3900,0140732253,1741681818
80,Leo Richardson,O-,23,5200,0115576722,1741681829
81,Camila West,A+,42,5400,0165452574,1741681840
82,Ezekiel Myers,O-,33,7000,0112039831,1741681851
